Scenario,GCM,global_mean_deviation_degC,1_dev_degC,2_dev_degC,3_dev_degC,4_dev_degC,5_dev_degC,6_dev_degC,7_dev_degC,8_dev_degC,9_dev_degC,10_dev_degC,11_dev_degC,12_dev_degC,13_dev_degC,14_dev_degC,15_dev_degC,16_dev_degC,17_dev_degC,18_dev_degC,19_dev_degC,all_dev_degC
ssp119,EC-Earth3,1.4968838185756,1.4897311734331224,1.841860170813564,2.770497803787967,2.6875906277825408,2.4379802867730147,1.8192635931155734,4.745195283619748,2.218926657068013,6.611574932390442,2.586445677541593,1.5659578937621432,2.18723597003621,1.9168806852034295,1.8654729287672212,1.8544425960639273,1.4349628802054581,1.170854394503266,1.322303409838662,1.2137719956699669,2.018176684235459
ssp119,EC-Earth3-Veg,1.6723908358303703,2.2729890510846387,2.2189951745022567,3.5646138426686433,3.4731620169151682,2.7726799279264696,2.176573679073658,6.710502809409064,2.6157690335010244,8.024537392024863,3.0317410938565446,2.352156438273769,2.2150641506354503,1.9262198268077753,2.0962698309001127,1.8119093737830752,1.6221788779194894,1.308991541644545,1.0475639083140749,1.3181049016481752,2.335550146934196
ssp119,GFDL-ESM4,1.2186434006733067,1.7378151179019312,1.8711511431131527,2.4795898180790075,2.193336153322906,1.2101340723602676,0.4093661203356163,2.1010995625458007,1.1818341594079413,2.4336975848354028,1.9658990566978987,1.6516147510152563,1.5333498084093407,1.3905861912668485,1.3305074735415787,1.2610026518601927,1.3198473263499069,0.9464497144038632,1.0687138718193296,0.5935231658819106,1.456375161121602
ssp119,MRI-ESM2-0,1.5189294947625853,1.3572149011883425,1.7816019347457512,2.802169543602409,2.488680185140521,1.9895960129168742,1.8560077577716783,4.7997473582215235,1.5806717919728015,3.9984598586030926,2.0108813456525327,1.3325988361777434,1.8342275987918015,1.6907598920767923,1.6260972469590314,1.7038675455981405,1.5140337951853582,1.2515238553980055,1.6474280838347881,1.8689470472659167,1.8287475769004318
ssp126,BCC-CSM2-MR,1.7367356007922665,2.81680584170995,2.392619761603021,2.72876612986434,2.083268129066423,2.1052861523331416,2.355632241585596,3.4713997731123016,2.5524291294316384,3.452322273169963,2.940247975459107,2.107647039602719,2.3313476942119733,2.1937701173680524,2.3595747381143752,1.8934237433614243,1.7908054996613145,1.5875723068808838,1.5431266058895374,2.1702138496176415,2.290191610894061
ssp126,CESM2,2.271774220050594,2.976388959691005,2.869423239950328,4.263545967542075,3.862178357047432,1.5382399264406814,-0.9555672187041637,2.960797025654583,0.9978918137061215,3.305342662327894,3.215789516581674,2.272107919941189,2.5432368978030895,2.7606179194594604,2.4297031059771768,2.618443150433572,2.623054204249942,1.9951191500745096,2.309305258738141,3.0130023606434007,2.6715468471553665
ssp126,CESM2-WACCM,2.4197047791957003,3.655374776940454,3.4627931096602707,4.016850458706992,3.203896816482538,1.6644285499674027,-0.45130196108495113,3.91919100999842,1.1600948913848952,4.143737852217771,3.0540415232805542,2.3380617716140164,2.5020694042538794,2.7520962652860645,2.463937058088709,2.634079925029147,2.7363553471653774,2.3152250366661575,2.2856370324050572,3.500458054425283,2.839637552995822
ssp126,EC-Earth3,2.2368110518470274,3.232504695706001,3.217918601952016,5.821329261728775,5.937009388798271,4.862601045441826,4.5261113979877505,7.266638824517912,3.4881566729256064,7.462380860752876,3.6855923407174997,2.7531489397728905,3.313742458867941,2.868498360937386,3.1776617330873194,2.7164224517170736,2.2651408557006163,1.8297274293095172,1.6049653602689715,1.8566437893110332,3.368439918884769
ssp126,EC-Earth3-Veg,2.119826410875473,3.046499861144838,3.00655962637,3.947112732934812,3.8424184078028842,3.5464323268528006,2.8938602162417366,7.951340396522082,3.0750212240506527,8.45333873947547,3.5261111584640816,2.798892571868399,3.1942079971587845,2.916407173535313,3.290261445311921,2.70704900826465,2.1735649644599078,1.8608565275957971,1.5978079274623382,2.032851374781913,3.0982032127333072
ssp126,FGOALS-f3-L,1.7155023693448725,1.9879295104093984,2.024117617219852,3.5040498240241975,3.0395895853444244,2.296332129187064,1.8930986944404906,2.8083369559307867,1.5541460877687256,3.746534863912095,2.5620784334482325,1.8014055039973669,2.196296868007221,2.244399636198614,2.1008049337957972,2.1057177687949773,1.8201821018973816,1.9106227315253306,1.8216018114550905,2.1885555826973246,2.2363075458817945
